Protocol,Filler_type,Scope,Answer
1,adjuct_island,isomorphic,1
1,adjuct_island,isomorphic,1
1,adjuct_island,isomorphic,1
1,adjuct_island,isomorphic,1
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,non_isomorphic,0
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_modifier_2,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,1
1,universal_quantifier_object_topic,isomorphic,0
1,universal_quantifier_object_topic,isomorphic,0
1,universal_quantifier_object_topic,isomorphic,0
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,1
1,universal_quantifier_object_topic,non_isomorphic,0
1,universal_quantifier_object_topic,non_isomorphic,0
1,universal_quantifier_object_topic,non_isomorphic,0
1,universal_quantifier_object_topic,non_isomorphic,0
